fake_share_hhi_t,fake_top1_share_ratio_t,global_disagreement,label,mean_fake_event_exposure_ratio,mean_fake_event_misbelief_ratio_among_exposed,platform_trust_mean,polarization_abs_mean,polarization_variance,run_id,timestep,total_likes,total_rewrite_shares,total_shares,users_believing_any_fake_ratio_among_exposed,users_exposed_to_any_fake_ratio
1.0,1.0,0.021030243234774492,soft_on,0.21666666666666667,0.3229166666666667,0.6617556554283465,0.0765,0.03160497222222209,exp_20260321_173127_exp_rq3_soft,2,499.0,70.0,372.0,0.9538461538461539,0.65
0.9823022959183674,0.9910714285714286,0.026913785820660823,soft_on,0.24333333333333332,0.608946608946609,0.738342636445444,0.08916666666666667,0.037568083333333516,exp_20260321_173127_exp_rq3_soft,3,687.0,102.0,542.0,0.9558823529411765,0.68
0.9496135552913199,0.9741379310344828,0.025424693231768238,soft_on,0.26333333333333336,0.62893864013267,0.7985030841288085,0.0925,0.03826030555555569,exp_20260321_173127_exp_rq3_soft,4,880.0,139.0,730.0,0.9571428571428572,0.7
0.9335232668566003,0.9658119658119658,0.0218321670435583,soft_on,0.29333333333333333,0.9227420589360888,0.849199829193683,0.09716666666666668,0.038463638888889005,exp_20260321_173127_exp_rq3_soft,5,1073.0,180.0,922.0,0.9444444444444444,0.72
0.9335232668566003,0.9658119658119658,0.022068000796668614,soft_on,0.29333333333333333,0.9227420589360888,0.8887977947388854,0.09716666666666668,0.038463638888889005,exp_20260321_173127_exp_rq3_soft,6,1265.0,215.0,1117.0,0.9444444444444444,0.72
0.9335232668566003,0.9658119658119658,0.021744960044051437,soft_on,0.29333333333333333,0.9227420589360888,0.9142794641660561,0.09716666666666668,0.038463638888889005,exp_20260321_173127_exp_rq3_soft,7,1461.0,256.0,1309.0,0.9444444444444444,0.72
0.9335232668566003,0.9658119658119658,0.020689382962261936,soft_on,0.29333333333333333,0.9227420589360888,0.9378613271041577,0.09716666666666668,0.038463638888889005,exp_20260321_173127_exp_rq3_soft,8,1663.0,307.0,1483.0,0.9444444444444444,0.72
0.9335232668566003,0.9658119658119658,0.022100190463036972,soft_on,0.29333333333333333,0.9227420589360888,0.9486397588653694,0.09716666666666668,0.038463638888889005,exp_20260321_173127_exp_rq3_soft,9,1854.0,345.0,1636.0,0.9444444444444444,0.72
0.9049999999999999,0.95,0.007601886574074074,soft_off,0.12,0.6309523809523809,0.42882936110668074,0.02683333333333334,0.00702497222222226,exp_20260321_181711_exp_rq3_soft,0,113.0,5.0,74.0,0.8,0.35
0.8936718904979171,0.9436619718309859,0.012525081018518519,soft_off,0.24,0.7162373145979704,0.42882936110668074,0.06883333333333332,0.022794972222222175,exp_20260321_181711_exp_rq3_soft,1,276.0,20.0,195.0,0.9076923076923077,0.65
0.9068903124847181,0.951048951048951,0.01743050677910053,soft_off,0.3233333333333333,0.7506024096385543,0.42882936110668074,0.11466666666666671,0.043742888888889,exp_20260321_181711_exp_rq3_soft,2,466.0,50.0,359.0,0.9411764705882353,0.85
0.8853059266180147,0.9396984924623115,0.024339961144179897,soft_off,0.3633333333333333,0.865359477124183,0.42882936110668074,0.14680000000000007,0.06352938222222246,exp_20260321_181711_exp_rq3_soft,3,643.0,74.0,499.0,0.9204545454545454,0.88
0.8375347222222222,0.9125,0.030288911078042328,soft_off,0.4066666666666667,0.8637217339042896,0.42882936110668074,0.17086666666666675,0.07560215999999971,exp_20260321_181711_exp_rq3_soft,4,832.0,101.0,654.0,0.9333333333333333,0.9
0.805256103956646,0.8931297709923665,0.03219296332671958,soft_off,0.46666666666666673,0.84573268921095,0.42882936110668074,0.18353333333333346,0.08019962666666686,exp_20260321_181711_exp_rq3_soft,5,1016.0,131.0,812.0,0.9473684210526315,0.95
